title;authors;description;tags;language;year;isbn;cover_url
Под игото;Иван Вазов;Роман за българското Възраждане и Априлското въстание.;класика,история,българска литература;bg;1894;9545285798;
Хари Потър и Философският камък;Дж. К. Роулинг;Първа година в Хогуортс магия и приятелство.;фентъзи,young adult,магия;bg;1997;9780747532699;
1984;Джордж Оруел;Антиутопия за контрол и език.;sci-fi,дистопия,класика;bg;1949;9780452284234;
Dune;Frank Herbert;Наука политика и пустинята Арракис.;sci-fi,epic,политика;en;1965;9780441172719;
The Name of the Wind;Patrick Rothfuss;Момче станало легенда в елегантен фентъзи свят.;фентъзи,epic,магия;en;2007;9780756404741;
Atomic Habits;James Clear;Малки навици големи резултати.;нехудожествена,продуктивност;en;2018;9780735211292;
Sapiens;Yuval Noah Harari;От ловци до империи накратко.;нехудожествена,история,наука;en;2011;9780062316097;
Малкият принц;Антоан дьо Сент-Екзюпери;Поетична притча за дружбата и самотата.;класика,философия;bg;1943;9780141324373;
The Murder of Roger Ackroyd;Agatha Christie;Детектив с прочут обрат.;трилър,мистерия,криминале;en;1926;9780062073466;
Pride and Prejudice;Jane Austen;Любов и ирония в Риджънси Англия.;романс,класика,литература;en;1813;9780141439518;
Стъкленият трон;Сара Дж. Маас;Наемна убийца и дворцови игри.;фентъзи,young adult,приключение;bg;2012;9781619630345;
Project Hail Mary;Andy Weir;Останал астронавт спасява Земята с наука.;sci-fi,приключение,хумор;en;2021;9780593135204;
Thinking Fast and Slow;Daniel Kahneman;Две системи на мислене и пристрастия.;нехудожествена,психология,икономика;en;2011;9780374533557;
Война и мир;Лев Толстой;Епос за войни и съдби.;класика,история,роман;bg;1869;9780140447934;
The Hobbit;J. R. R. Tolkien;Пътешествие с джудже и дракон.;фентъзи,epic,adventure;en;1937;9780547928227;
Gone Girl;Gillian Flynn;Брачен трилър с ненадеждни разказвачи.;трилър,психологически,криминале;en;2012;9780307588371;
The Psychology of Money;Morgan Housel;Пари поведение и дългосрок.;нехудожествена,финанси,психология;en;2020;9780857197689;
Dark Matter;Blake Crouch;Квантов трилър с паралели.;sci-fi,трилър,мистерия;en;2016;9781447297580;
Klara and the Sun;Kazuo Ishiguro;Разказ на ИИ за грижа и любов.;sci-fi,литература;en;2021;9780525558655;
